Current,Voltage,Power,Thrust
29.89,23.55,704,3158
29.46,23.42,690.2,3232
28.98,23.42,679,3268
29.23,23.37,683.3,3283
29.46,23.39,689.2,3277
29.22,23.32,681.6,3274
29.16,23.28,679.1,3275
28.62,23.27,666.1,3271
33.33,23.18,772.7,3318
32.44,23.11,749.8,3432
34.52,23.07,796.8,3465
34.97,23,804.7,3558
35.22,22.98,809.7,3630
37.54,22.91,860.4,3680
32.79,22.81,748.2,3745
31.9,22.97,732.9,3671
31.7,22.93,727.2,3653
31.3,22.9,725.3,3657
31.43,22.88,719.3,3633
31.94,22.86,730.5,3627
31.62,22.84,722.5,3620
31.63,22.79,721.1,3605
31.82,22.76,724.2,3601
31.46,22.72,716.5,3594
31.08,22.7,705.9,3587
30.96,22.67,700.6,3579
31.04,22.65,703.4,3576
29.76,22.74,678.2,3514
29.61,22.63,670.4,3479
28.98,22.6,655.2,3477
29.11,22.58,657.6,3465
29.12,22.53,656.3,3462
32.04,22.44,719.2,3477
31.31,22.39,701.2,3535
31.36,22.35,701.3,3542
31.64,22.32,706.4,3538
31.26,22.3,797.3,3537
31.12,22.28,693.7,3537
31.79,22.25,707.5,3536
31.38,22.23,697.7,3510
31.15,22.21,691.9,3502
30.6,22.19,639.4,3442
28.93,22.11,641.3,3424
28.52,22.09,630.2,3418
28.04,22.07,619.1,3413
28.84,22.05,636.3,3397
28.65,22,631.4,3364
28.13,21.98,618.5,3355
28.02,21.97,615.8,3325
28.56,21.93,626.5,3321
28.59,21.91,626.5,3316
30.67,21.86,670.7,3365
30.62,21.84,669.1,3369
30.63,21.81,669.1,3369
30.81,21.77,671.1,3376
30.49,21.72,662.4,3375
30.66,21.76,667.3,3366
30.45,21.7,661.1,3367
29.83,21.67,646.6,3359
30.12,21.65,652.4,3348
29.66,21.63,641.9,3340
29.73,21.6,642.2,3338
29.67,21.58,640.5,3342
29.61,21.56,638.7,3349
29.73,21.56,641.2,3340
29.97,21.54,645.9,3341
